,Line width,Star HD ID,,,,,,,,,,,,,,,,,
LEO,1,87901,87737,89484,89025,85503,84441,,,,,,,,,,,,
LEO,2,87737,97633,102647,97603,89484,,,,,,,,,,,,,
LEO,2,97603,97633,,,,,,,,,,,,,,,,
LEO,3,97633,99028,98664,,,,,,,,,,,,,,,
LEO,3,85503,81146,82308,84441,,,,,,,,,,,,,,
ARI,1,12929,11636,11502,,,,,,,,,,,,,,,
ARI,2,12929,17573,,,,,,,,,,,,,,,,
TAU,1,35497,28305,28305,27371,25204,21364,,,,,,,,,,,,
TAU,1,37202,29139,27371,,,,,,,,,,,,,,,
TAU,2,21364,25490,,,,,,,,,,,,,,,,
TAU,2,21120,21933,,,,,,,,,,,,,,,,
GEM,2,50019,54719,60522,62345,,,,,,,,,,,,,,
GEM,2,60179A,54719,48329,45542,,,,,,,,,,,,,,
GEM,2,62509,60522,62044,52973,47105,,,,,,,,,,,,,
GEM,2,48737,56537,62044,,,,,,,,,,,,,,,
GEM,2,42995,44478,48329,,,,,,,,,,,,,,,
GEM,3,42049,44478,,,,,,,,,,,,,,,,
CNC,3,76756,74442,74198,74739,,,,,,,,,,,,,,
CNC,3,69267,74442,,,,,,,,,,,,,,,,
VIR,2,129502,124850,118098,110379,107259,104979,102212,102870,107259,,,,,,,,,
VIR,2,116658,114330,110379,,,,,,,,,,,,,,,
VIR,2,130109,122408,118098,,,,,,,,,,,,,,,
LIB,1,130819,135742,,,,,,,,,,,,,,,,
LIB,3,135742,138905,133774,139365,,,,,,,,,,,,,,
LIB,3,138905,130819,133216,,,,,,,,,,,,,,,
SCO,1,161892,158926,158408,160578,161912,159532,155203,152236,151890,151680,149438,148479,147165,143275,,,,
SCO,1,144218,147165,143018,,,,,,,,,,,,,,,
SCO,3,145501,144218,,,,,,,,,,,,,,,,
SCO,3,142669,143018,,,,,,,,,,,,,,,,
SGR,3,181577,178524,177241,175775,181577,,,,,,,,,,,,,
SGR,3,167618,169022,,,,,,,,,,,,,,,,
SGR,3,169916,166937,,,,,,,,,,,,,,,,
SGR,1,176687,173300,169916,168454,169022,176687,,,,,,,,,,,,
SGR,1,176687,177716,175191,173300,169916,168454,169022,,,,,,,,,,,
CAP,1,192876,193452,197692,198542,204075,205637,207098,200761,193432,,,,,,,,,
AQR,1,198001,198743,204867,209750,212571,213051,,,,,,,,,,,,
AQR,1,213998,213051,212061,209750,,,,,,,,,,,,,,
AQR,3,209750,211391,216386,219215,219688,216727,,,,,,,,,,,,
AQR,3,216386,215766,216627,219688,218594,,,,,,,,,,,,,
AQR,3,204867,209819,,,,,,,,,,,,,,,,
PSC,1,7318,7964,7106,7318,9270,10761,12446,10380,9138,6186,4656,224617,222368,220954,219615,220825,222603,222368